nom,prénom,numéro rue,rue,complément,code postal,ville,mail personnel,mail professionnel,téléphone personnel,téléphone portable,cotisation,date d’adhésion,statut
ASSELIN,Francis,14,Rue des Lilas,,45270,Bellegarde,ass4@gmail.com,asselin.francis@unic.fr,238901586,689154763,oui,04/06/2008,membre
VANNIER,Anne,51,Rue du 14 Juillet,B1 résidence les Puisseaux,45420,Bonny sur Loire,vannier_4@red.fr,vannier.anne@tif.fr,,713791685,oui,29/02/2006,membre
JOUAN,Raymond,32,Rue de Bellevue,,45460,Les Bordes,jouanray2@sfr.fr,jouan.raymond@edf.fr,238298615,615986378,oui,15/10/1999,secrétaire
LE GAFFRIC,Bernadette,5,Place de l'église,,45390,Boësses,legaffric_ber@gmail.fr,legaffric.bernadette@mil.fr,,723056085,oui,24/03/2002,membre
BOUGEOT,Gilles,37,Rue Gambetta,residence les tilleuls,45270,Bellegarde,boug_4@free.fr,bougeot.gilles@orpi.fr,237921369,,non,09/01/2000,menbre
BERTRAND,Thierry,51,Rue du 14 Juillet,C1 résidence les Puisseaux,45420,Bonny sur Loire,bertrand_5@sfr.fr,bertrand.thierry@caf.fr,225984127,,oui,01/02/2012,membre
PINOTEAU,Carine,25,Rue de Colmart,,45760,Boigny sur Bionne,carine5@yahoo.fr,portier.carine@gdf.fr,238759356,689125632,oui,05/09/1999,présidente
CHESNAU,Olivier,103,Boulevard la Salle,,45000,Orleans,chesoliv@sfr.fr,chesnau.olivier@univ.fr,215893612,756127893,oui,23/03/2016,membre
TALEXA,Chantal,15,Rue Verdun,,45760,Boigny sur Bionne,talechan@sfr.fr,talexa.chantal@gra.fr,213269832,,oui,23/12/2011,membre
RONDEAU,Pascale,4,Impasse de l'hopital,,45760,Boigny sur Bionne,rondeau_4@tele2.fr,rondeau.pascale@laforet.fr,297147136,,oui,23/12/2011,membre
DE SOLAIRE,Hubert,23,route de Sully,,45460,Bonnée,desolaire_2@free.fr,desolaire.hubert@st.fr,,720193059,oui,27/12/2017,membre
GENIPA,Jean,6,Rue de la Gare,,45480,Boisseaux,genipa_5@red.fr,genipa.jean@cut.fr,,780365092,oui,22/11/2006,membre
JACQUET,Jean-rémy,12,Rue des Acacias,,45420,Bonny sur Loire,jacque_2@red.fr,jacquet.jean-remy@gdf.fr,296986123,789147883,non,28/04/2016,membre
LEMOULT,Georges,29,Rue de la Commanderie,A1 residence la Foret,45270,Bellegarde,lemoupos@gmail.com,lemoult.georges@orange.fr,,723891425,oui,23/06/2007,membre
PAILLART,Mélanie,45,Route du Chateau d'eau,,45420,Bonny sur Loire,paillmela@yahoo.fr,paillard.melanie@free.fr,,614632578,oui,05/05/1999,vice présidente
MERCIER,Jean-Claude,20,Avenue Madame de Montespan,,45270,Bellegarde,mercierjean@yahoo.fr,mercier.jean-claude@pot.fr,996123568,,non,25/06/2001,membre
DESNOUS,matthieu,22,Avenue Baron Sezeur,,45460,Bonnée,desnou_mat@bouygues.fr,desnous.matthieu@tehno.fr,218964523,789641258,oui,15/09/2002,membre
VRIGNAUD,Denise,10,Place Charles Desvergnes,,45270,Bellegarde,vrign4@orange.fr,vrignaud.denise@3dcom.fr,238947823,,oui,19/11/2010,membre
PINOTEAU,Andrée,15,Rue des Clos,,45390,Boësses,pinot_and@yahoo.fr,pinoteau.andree@tuc.fr,238123214,692964578,oui,06/12/1999,trésorier
ROBIN,Louise,120,Route du Pressoir,,45420,Bonny sur Loire,robin5@yahoo.fr,robin.louise@def.fr,223697125,756123678,oui,,
RYNDA,Thomas,1,Rue Lavoir,,45270,Bellegarde,rynda6@bouygue.fr,rynda.thomas@ffb.fr,238969512,738631256,oui,28/11/2006,membre
VALADE,Florence,38,Rue des Roziers,,45480,Boisseaux,floflo@free.fr,valade.florence@basf.fr,238953971,723141982,oui,06/04/2014,membre
MAZAUD,Izabelle,56,Boulevard Quebec,residence Jeanne d'Arc,45000,Orleans,mazaud_5@orange.fr,mazaud.izabelle@bin.fr,,784371269,oui,18/06/2015,membre
CAMUS,Martial,210,Rue Tertres,,45760,Boigny sur Bionne,camus_5@gmail.fr,camus.martial@mer.fr,,789871369,non,09/05/2018,membre
LELAY,Romuald,4,Rue de la République,,45420,Bonny sur Loire,romuald6@sfr.fr,lelay.romuald@ac-orleans-tours.fr,238963791,,oui,23/09/2010,membre
LEMOSSE,Matine,13,Route Auvilliers,,45270,Bellegarde,lemosse_m@bouygues.fr,lemosse.martine@edf.fr,277326942,,non,03/12/2012,membre
WERNDORFER,sebastien,6,Route des Ramparts,,45300,Bondaroy,WERND_sebastien@yahoo.fr,WERNDORFER.sebastien@3dcom.fr,215984512,689067823,oui,18/01/2008,membre
BARRANGER,Rodolphe,39,Rue du Canal,,45760,Boigny sur Bionne,barra_rodol@orange.fr,barranger.rodolphe@cit.fr,945698723,,non,13/10/2015,membre
TRUCHON,Daniel,115,Rue Grande,,45000,Orleans,truchon_dan@sfr.fr,truchon.daniel@pic.fr,945612389,771233659,oui,28/01/2003,membre
THION,Christel,56,Avenue Jean Jaures,C10 Les Lillas,45000,Orleans,christel@yahoo.fr,thion.christel@caf.fr,978451258,691080989,oui,03/05/2017,membre
SICARD,Jean-Michel,99,Rue de Verdun,,45760,Boigny sur Bionne,sicard_mi_mi@gmail.com,sicard.michel@cif.fr,945892378,603990456,oui,26/06/2001,membre
FEUILLETTE,Karine,56,Rue des Mesanges,,45760,Boigny sur Bionne,karine_5@free.fr,feuillette.karine@meg.fr,232314589,,oui,03/09/2008,membre
VANNIER,Anne,18,Rue du Buis,,45480,Boisseaux,vannier_2@orange.fr,vannier.anne@lef.fr,203690452,,oui,09/06/2010,membre
LA CORTE,Josiane,56,route Saint Benoit,,45460,Bonnée,corte_2@gmail.fr,lacorte.josiane@lem.fr,,745630210,oui,19/12/2003,membre
FOURNIER,Virginie,19,Route de Ferrières,,45270,Bellegarde,fournier2@bouygue.fr,fournier.michel@avr.fr,218459863,712599523,non,04/06/2019,membre
